field_id,report_year,company_type,retained_observation_rows,unavailable_source_fact,out_of_reporting_scope,inapplicable_company_type,out_of_period_scope,eligible_source_null,eligible_source_non_null
financial.balance_sheet.accounts_receivable.latest_reported,2008,1,13106,0,0,0,0,270,12836
financial.balance_sheet.accounts_receivable.latest_reported,2008,2,146,6,0,0,0,137,3
financial.balance_sheet.accounts_receivable.latest_reported,2008,3,25,2,0,0,0,23,0
financial.balance_sheet.accounts_receivable.latest_reported,2008,4,161,0,0,0,0,159,2
financial.balance_sheet.accounts_receivable.latest_reported,2009,1,10534,0,0,0,0,244,10290
financial.balance_sheet.accounts_receivable.latest_reported,2009,2,125,4,0,0,0,119,2
financial.balance_sheet.accounts_receivable.latest_reported,2009,3,19,2,0,0,0,17,0
financial.balance_sheet.accounts_receivable.latest_reported,2009,4,134,0,0,0,0,134,0
financial.balance_sheet.accounts_receivable.latest_reported,2010,1,13659,0,0,0,0,324,13335
financial.balance_sheet.accounts_receivable.latest_reported,2010,2,151,12,0,0,0,137,2
financial.balance_sheet.accounts_receivable.latest_reported,2010,3,19,6,0,0,0,11,2
financial.balance_sheet.accounts_receivable.latest_reported,2010,4,182,0,0,0,0,180,2
financial.balance_sheet.accounts_receivable.latest_reported,2011,1,15788,0,0,0,0,341,15447
financial.balance_sheet.accounts_receivable.latest_reported,2011,2,156,14,0,0,0,141,1
financial.balance_sheet.accounts_receivable.latest_reported,2011,3,23,10,0,0,0,9,4
financial.balance_sheet.accounts_receivable.latest_reported,2011,4,170,0,0,0,0,154,16
financial.balance_sheet.accounts_receivable.latest_reported,2012,1,19490,0,0,0,0,397,19093
financial.balance_sheet.accounts_receivable.latest_reported,2012,2,177,8,0,0,0,169,0
financial.balance_sheet.accounts_receivable.latest_reported,2012,3,29,18,0,0,0,4,7
financial.balance_sheet.accounts_receivable.latest_reported,2012,4,220,2,0,0,0,202,16
financial.balance_sheet.accounts_receivable.latest_reported,2012,7,1,0,0,1,0,0,0
financial.balance_sheet.accounts_receivable.latest_reported,2013,1,17719,0,0,0,0,362,17357
financial.balance_sheet.accounts_receivable.latest_reported,2013,2,155,10,0,0,0,145,0
financial.balance_sheet.accounts_receivable.latest_reported,2013,3,28,16,0,0,0,6,6
financial.balance_sheet.accounts_receivable.latest_reported,2013,4,196,4,0,0,0,139,53
financial.balance_sheet.accounts_receivable.latest_reported,2013,7,1,0,0,1,0,0,0
financial.balance_sheet.accounts_receivable.latest_reported,2014,1,18669,0,0,0,0,358,18311
financial.balance_sheet.accounts_receivable.latest_reported,2014,2,160,10,0,0,0,150,0
financial.balance_sheet.accounts_receivable.latest_reported,2014,3,28,14,0,0,0,8,6
financial.balance_sheet.accounts_receivable.latest_reported,2014,4,189,2,0,0,0,87,100
financial.balance_sheet.accounts_receivable.latest_reported,2014,7,2,0,0,2,0,0,0
financial.balance_sheet.accounts_receivable.latest_reported,2015,1,16787,0,0,0,0,350,16437
financial.balance_sheet.accounts_receivable.latest_reported,2015,2,159,4,0,0,0,154,1
financial.balance_sheet.accounts_receivable.latest_reported,2015,3,23,2,0,0,0,18,3
financial.balance_sheet.accounts_receivable.latest_reported,2015,4,171,0,0,0,0,171,0
financial.balance_sheet.accounts_receivable.latest_reported,2015,7,2,0,0,2,0,0,0
financial.balance_sheet.accounts_receivable.latest_reported,2016,1,21094,0,0,0,0,361,20733
financial.balance_sheet.accounts_receivable.latest_reported,2016,2,222,6,0,0,0,215,1
financial.balance_sheet.accounts_receivable.latest_reported,2016,3,29,0,0,0,0,28,1
financial.balance_sheet.accounts_receivable.latest_reported,2016,4,199,0,0,0,0,199,0
financial.balance_sheet.accounts_receivable.latest_reported,2016,7,3,0,0,3,0,0,0
financial.balance_sheet.accounts_receivable.latest_reported,2017,1,22766,0,0,0,0,318,22448
financial.balance_sheet.accounts_receivable.latest_reported,2017,2,236,4,0,0,0,232,0
financial.balance_sheet.accounts_receivable.latest_reported,2017,3,31,0,0,0,0,31,0
financial.balance_sheet.accounts_receivable.latest_reported,2017,4,215,0,0,0,0,213,2
financial.balance_sheet.accounts_receivable.latest_reported,2017,7,3,0,0,3,0,0,0
financial.balance_sheet.accounts_receivable.latest_reported,2018,1,26849,6,0,0,0,580,26263
financial.balance_sheet.accounts_receivable.latest_reported,2018,2,283,4,0,0,0,279,0
financial.balance_sheet.accounts_receivable.latest_reported,2018,3,40,0,0,0,0,40,0
financial.balance_sheet.accounts_receivable.latest_reported,2018,4,270,0,0,0,0,270,0
financial.balance_sheet.accounts_receivable.latest_reported,2018,7,2,0,0,2,0,0,0
financial.balance_sheet.accounts_receivable.latest_reported,2019,1,24846,74,0,0,0,514,24258
financial.balance_sheet.accounts_receivable.latest_reported,2019,2,253,0,0,0,0,253,0
